"most_recent_observation","most_recent_observation_type","common_name","scientific_name","city","state","longitude_coordinate","latitude_coordinate","address","condition","height_M","native","height_binned_M","diameter_breast_height_binned_CM","greater_metro","city_ID","tree_ID","planted_date","retired_date","location_type","zipcode","neighborhood","location_name","ward","district","overhead_utility","diameter_breast_height_CM","percent_population"
"10/14/2019","inventory_date","Japanese black pine","Pinus thunbergii","Albuquerque","New Mexico",-106.5293913,35.14871613,"10001 Admiral Emerson Avenue Northeast","excellent",NA,"introduced",NA,"0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/14/2019","inventory_date","Basswood","Tilia","Albuquerque","New Mexico",-106.6103411,35.06992689,"700 Richmond Drive Southeast","excellent",49.2126,"no_info","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10/2/2019","inventory_date","Blue atlas cedar","Cedrus atlantica","Albuquerque","New Mexico",-106.5231612,35.13576956,"10301 Camino Del Oso Northeast","good",114.8294,"introduced","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9/11/2019","inventory_date","Littleleaf linden","Tilia cordata","Albuquerque","New Mexico",-106.5237071,35.13606075,"4918 Casa Del Oso Northeast","excellent",49.2126,"introduced","more than 18.29 m","0 to 15.24 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","London plane","Platanus acerifolia","Albuquerque","New Mexico",-106.7074297,35.1154197,"6008 Pastorcito Drive Northwest","fair",229.6588,"introduced","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","London plane","Platanus acerifolia","Albuquerque","New Mexico",-106.7072064,35.11545261,"5922 Prenda De Oro Drive Northwest","fair",NA,"introduced",NA,"30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","London plane","Platanus acerifolia","Albuquerque","New Mexico",-106.7072191,35.11558919,"5922 Prenda De Oro Drive Northwest","fair",196.8504,"introduced","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","London plane","Platanus acerifolia","Albuquerque","New Mexico",-106.7072124,35.11553215,"5922 Prenda De Oro Drive Northwest","good",131.2336,"introduced","more than 18.29 m","15.24 to 30.48 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","London plane","Platanus acerifolia","Albuquerque","New Mexico",-106.7074739,35.11545206,"6008 Pastorcito Drive Northwest","good",278.8714,"introduced","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","London plane","Platanus acerifolia","Albuquerque","New Mexico",-106.7074753,35.11551405,"6008 Pastorcito Drive Northwest","good",262.4672,"introduced","more than 18.29 m","30.48 to 45.72 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7/25/2019","inventory_date","London plane","Platanus acerifolia","Albuquerque","New Mexico",-106.7075182,35.11557274,"2801 Sol De Vida Northwest","good",295.2756,"introduced","more than 18.29 m","45.72 to 60.96 cm","Albuquerque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
